"","Quarter","Consumption","Income","Production","Savings","Unemployment"
"1",0,0.61856639950868,1.04480133201204,-2.45248552664101,5.29901407084905,0.9
"2",90,0.451984018900831,1.22564719214324,-0.551459473735916,7.78989382434156,0.5
"3",181,0.872871780499196,1.58515383548377,-0.358651752096151,7.40398406599123,0.5
"4",273,-0.271847932667235,-0.239544865217312,-2.1856908722286,1.16989824153153,0.699999999999999
"5",365,1.90134495901262,1.97592494928607,1.90976436380033,3.53566692847158,-0.0999999999999996
"6",455,0.914877346261811,1.44590852820023,0.901569521995516,5.87476357161911,-0.0999999999999996
"7",546,0.794109641460139,0.521149112624286,0.308030708051898,-0.406235341311412,0.0999999999999996
"8",638,1.64563316403594,1.15917609356764,2.29136213847649,-1.48625890240961,0
"9",730,1.31118969443822,0.456856713988252,4.15429495426349,-4.29197219582482,-0.2
"10",821,1.88577787726736,1.03338930705625,1.88867271243276,-4.69219636239764,-0.0999999999999996
"11",912,1.52933361233263,1.92629489965412,1.26541144602705,5.92345399030272,-0.2
"12",1004,2.31955754164872,3.9299492216804,3.43958747236814,16.0735141233835,-0.3
"13",1096,1.80928216710505,0.755642727536987,2.79414525256678,-4.7589831878609,-0.3
"14",1186,-0.045090606803555,0.840392330315787,0.832174484046799,8.61510110344472,0
"15",1277,0.351353184614389,0.451026593205484,0.858624491011017,2.948063512284,-0.100000000000001
"16",1369,-0.298693386992888,1.0881607837069,1.48200794850193,10.8349639381363,0.100000000000001
"17",1461,-0.898698755571026,-1.67419119543553,-0.886096555040128,-2.36251082294414,0.199999999999999
"18",1551,0.359406447822685,-0.934440313508489,0.0589479096969825,-6.30185444442137,0.300000000000001
"19",1642,0.428641009152031,0.0903255992856344,-0.394930181170361,0.446635084716185,0.5
"20",1734,-1.47250252953999,-0.133675449406923,-4.05070222572235,10.9899284325119,1.3
"21",1826,0.835247382438986,-0.150541833971651,-6.83603944736526,-5.17708380733763,1.4
"22",1916,1.63148743226458,4.52186882941881,-1.35939960000515,23.7392806826919,0.200000000000001
"23",2007,1.41124034597127,-1.46434233307158,2.42591788161284,-17.0840984963527,-0.4
"24",2099,1.06959157500057,0.778693589128565,2.15784549248266,0.793714669421064,-0.200000000000001
"25",2191,1.97965949703818,1.20032333099438,3.02870765476104,-2.41948815173467,-0.6
"26",2282,0.915845346951549,0.566352704774609,1.26991499688258,-0.972669631507994,0
"27",2373,1.04735216218526,0.777195745939174,1.32796179902863,0.39393609356031,0
